epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,961.789,0.61505,0.9874,1,0.04434,0.000332845,0.000332845,0.000332845
2,2366.16,0.15563,0.99259,1,0.02923,0.000600226,0.000600226,0.000600226
3,3096.96,0.11762,0.99481,1,0.01493,0.000801608,0.000801608,0.000801608
4,4538.06,0.0954,0.99889,1,0.00635,0.000703,0.000703,0.000703
