epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,762.044,0.61505,0.9874,1,0.04434,0.000332845,0.000332845,0.000332845
2,2998.78,0.15563,0.99259,1,0.02923,0.000600226,0.000600226,0.000600226
3,4947.93,0.11762,0.99481,1,0.01493,0.000801608,0.000801608,0.000801608
4,7149.33,0.0954,0.99889,1,0.00635,0.000703,0.000703,0.000703
